id,price_old,new_price,min_days
2878742,431.03,587,
7068538,552.6,600,
9878395,506.55,506.55,
11344759,597.73,855,3.0
11524018,489.05,489.05,
13021822,643.78,629,
13197084,529.58,518,
15637021,419.06,419.06,
15894273,844.56,134,
17462624,736.8,800,5.0
18365230,400.63,446,
18442989,736.8,400.0,30.0
18524149,564.57,800,
18800691,443.0,499,
18984978,460.5,500,6.0
19676329,5526.0,6000,
22257479,540.63,648.2,30.0
24925751,528.65,80.0,30.0
25849296,920.08,252,
25849404,1243.35,340,
25849448,1335.45,365,
25849530,1556.49,385,
25849672,1685.43,427,
25849704,1445.97,358,
25849754,1602.54,396,
25849777,1648.59,408,
26414345,634.57,695,
27694485,805.88,1007,3.0
31072730,1105.2,1200,
31371973,708.25,1166,
33948970,920.08,999,
33949069,738.64,587,
34564630,712.85,552,
34564691,690.75,371,
34581910,526.81,320,
34581947,983.63,516,
35423959,410.77,250,
35424032,410.77,250,
35434396,472.47,287,
35910110,1588.73,1553,
36502269,453.13,912,3.0
37439540,501.95,950,3.0
38383141,464.18,217.3,28.0
38956707,408.92,899,
39625006,921.0,782,
40157792,464.18,217.3,28.0
40192328,482.6,564,6.0
40655394,453.13,235,6.0
40793229,736.8,817.7666666666667,50.0
42189822,443.0,291,
42189849,838.11,549,
42571868,733.12,68.9,31.0
42992720,1196.38,1299.0,30.0
42993979,1196.38,165.0,30.0
44446829,909.03,987,
44593776,403.4,574,3.0
45357408,457.74,500,
48918242,766.27,1129,4.0
49070564,921.0,33.333333333333336,28.0
49106647,1842.0,2000,
49143146,1289.4,1400,
50187740,2173.56,2360,
50714968,727.59,630,5.0
51295186,460.5,500,
51425698,408.0,469,3.0
51464131,1142.04,889,3.0
53056799,586.68,573,
53697568,506.55,550,3.0
588032579619126353,3978.72,4320,
588970707657320571,762.59,339,
588973129892223812,762.59,,
599002432407606540,542.47,600,3.0
600421722086795257,578.39,211,
605517481014962475,689.83,201,
609966060838806362,506.55,550,4.0
615238216867287152,759.83,825,
650812421058935247,478.92,336.6666666666667,30.0
671061178864611729,528.65,68,3.0
671878778230634702,736.8,800,3.0
683887010886438922,920.08,999,
695413696694805160,920.08,999,
703310853091134651,486.29,392,
712157295915426181,591.28,348.6666666666667,28.0
720340484983626615,528.65,91,3.0
729431641327643198,920.08,141,
729438446966033082,920.08,151,
729441331012142951,920.08,161,
730332031821426450,644.7,1000,
740413947634539234,460.5,233.33333333333334,28.0
741758748576667377,532.34,713,
767253866602165437,506.55,600,
767970620819797004,609.7,371.93333333333334,28.0
783270184851296333,419.06,450,
787066473642226792,531.42,313.23333333333335,28.0
815867543303191633,829.82,933,4.0
816697012502586673,460.5,500,
821842966941492132,568.26,1077,4.0
852986472116333816,407.08,765,4.0
854392808349635676,404.32,699,3.0
854416825698300057,404.32,749,5.0
856603287235098675,404.32,759,5.0
904898227950442938,736.8,800,3.0
913101365656579008,431.95,147.6,30.0
937727645170280039,460.5,500,
943172429175293522,921.0,150,
943302589798965105,3223.5,3500,3.0
944954681810905497,722.99,900,
951262983972643052,921.0,100.0,30.0
954302358742432635,736.8,252,
955628042369330888,735.88,743,
964534932304660230,417.21,72.0,30.0
965674457107399726,422.74,71,
970985198924498157,800.35,170,
982548298969268751,1473.6,1600,3.0
996301924741661999,445.76,170.4,30.0
996307989731576636,921.0,170.4,30.0
1004096485365648584,694.43,149.33333333333334,30.0
1004096761287576738,556.28,156,4.0
1013734525947864934,552.6,540,
1015738356837412036,460.5,500,
1021086680229500407,460.5,500,3.0
1021498963274503885,644.7,281,
1021570541576462901,736.8,800,
1021637942905708961,736.8,800,
1045747325124250701,638.25,500,
1052790608430048853,817.85,180,
1055871610400910789,414.45,450,
1060252553222640060,534.18,580,7.0
1067552528425180555,464.18,149,
1075329097652934081,451.29,490,
1075877717120922557,460.5,88.66666666666667,28.0
1076533706911464348,552.6,762,
1089637248082564668,736.8,240,
1094733038676191195,828.9,750,3.0
1110615783014534594,736.8,120,4.0
1112188083650417063,8289.0,139,
1112222466109517594,8289.0,259,
1112796850143875467,449.45,99,
1113550588978080966,736.8,85,
1115198312501328169,513.0,579,
1116690231130087458,921.0,331,
40655431,421.82,136.36666666666667,28.0



