"platform","neighbourhood_id","room_type_id","kitchen","tv","wifi","gym","elevator","fridge","heating","hair_dryer","air_conditioning","hot_tub","oven","bbq","coffee","pool","balcony","furniture","microwave","beds","accommodates","bathrooms","bedrooms","price"
"airbnb",3,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,"2",4,NULL,"2","75.52"
"airbnb",19,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,"2",4,"1.5","2","72.76"
"airbnb",4,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"1",1,NULL,NULL,"27.63"
"airbnb",5,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,"4",8,"2.5","3","129.86"
"airbnb",15,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,"4",5,"1","0","96.70"
"airbnb",2,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"2",4,"1","1","101.31"
"airbnb",22,2,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,"2",4,"1","2","46.05"
"booking",10,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,NULL,NULL,NULL,NULL,"193.5000000000000000"
"airbnb",20,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,"1",2,"1","0","52.50"
"airbnb",2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"2",4,"1.5","2","62.63"
"booking",16,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,NULL,NULL,NULL,NULL,"306.3125000000000000"
"airbnb",3,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,"4",4,"1","1","81.97"
"airbnb",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",2,NULL,NULL,"55.26"
"airbnb",15,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"2",4,"1","0","69.08"
"airbnb",3,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,"2",4,"1","1","74.60"
"airbnb",20,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,"2",4,"1","1","68.15"
"airbnb",5,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,"2",4,"1","1","70.00"
"airbnb",5,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"0",4,"1","1","82.89"
"airbnb",2,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,"3",6,"1.5","2","89.34"
"airbnb",16,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"1",2,"1","0","46.05"
"airbnb",10,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,"3",6,"1.5","3","79.21"
"airbnb",4,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,NULL,4,NULL,"1",NULL
"airbnb",5,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,1,"2",4,"1.5","2","180.52"
"airbnb",5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",3,NULL,NULL,"92.10"
"airbnb",9,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NULL,2,NULL,NULL,NULL
"airbnb",10,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,"3",6,"1","2","152.89"
"airbnb",20,2,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"1",2,"1.5","1","33.16"
"airbnb",2,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,"1",2,"1","1","49.73"
"airbnb",20,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,"1",4,NULL,"1","49.73"
"airbnb",2,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,"3",6,"1.5","2","123.41"
"airbnb",3,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"1",2,"1","1","64.47"
"airbnb",19,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,"1",3,NULL,NULL,"62.63"
"airbnb",10,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,"0",4,"1.5","0","61.71"
"booking",10,4,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,NULL,NULL,NULL,NULL,"80.5384615384615385"
"airbnb",2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",2,"1","1","64.47"
"airbnb",2,2,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,"5",2,"1.5","3","33.16"
"airbnb",6,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,NULL,4,NULL,"2",NULL
"airbnb",7,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"3",2,"1.5","1","107.76"
"airbnb",10,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,"4",4,"1","1","69.08"
"airbnb",3,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,"1",4,"1","1","71.84"
"airbnb",7,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,"1",4,"1","1","81.05"
"booking",16,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,NULL,NULL,NULL,NULL,"105.8125000000000000"
"airbnb",16,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,"1",2,NULL,"1","46.05"
"airbnb",12,2,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"1",1,"2.5","1","17.50"
"airbnb",2,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,"1",3,"1","1","35.00"
"airbnb",10,2,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,NULL,2,NULL,NULL,NULL
"airbnb",5,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"1",3,"1","1","72.76"
"airbnb",20,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,"2",3,"1","1","59.87"
"airbnb",2,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,"1",2,"1.5","1","78.28"
"airbnb",15,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"2",3,"1","1","39.60"
"airbnb",15,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"2",4,"1","1","57.10"
"airbnb",5,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,"1",2,NULL,"1","59.87"
"airbnb",19,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"2",4,"1","2","62.63"
"airbnb",19,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,"2",4,"1","1","93.02"
"airbnb",22,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,NULL,3,NULL,"1",NULL
"airbnb",3,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,"3",6,"2","3","630.00"
"airbnb",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",4,NULL,NULL,"101.31"
"airbnb",3,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,"1",2,"1.5","1","54.34"
"airbnb",2,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,"1",2,"1","1","85.65"
"airbnb",20,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,"3",5,"1.5","2","92.10"
"airbnb",16,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,"2",3,"1.5","1","63.55"
"airbnb",5,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,1,"2",3,"1","1","72.76"
"airbnb",17,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,"2",4,"1.5","1","141.83"
"airbnb",4,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,NULL,6,NULL,"3",NULL
"airbnb",21,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,"3",4,"1","2","119.73"
"airbnb",15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",4,NULL,NULL,NULL
"booking",16,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,NULL,NULL,NULL,NULL,"162.0625000000000000"
"airbnb",5,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,"1",3,"1","1","75.52"
"airbnb",12,2,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,"1",1,NULL,NULL,"41.45"
"airbnb",3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2",4,"1.5","1","63.55"
"airbnb",1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"3",6,"1.5","1","170.39"
"airbnb",18,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,"2",4,"2","2","137.23"
"booking",12,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"100.7500000000000000"
"airbnb",12,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,"3",6,"1.5","2","115.12"
"airbnb",4,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"2",4,"1","2","153.81"
"airbnb",1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,NULL,5,NULL,"2",NULL
"airbnb",5,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,NULL,3,NULL,"1",NULL
"airbnb",5,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,"2",3,"1","1","48.81"
"airbnb",19,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,"2",3,NULL,"1","80.13"
"airbnb",12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",2,NULL,NULL,"83.81"
"booking",2,4,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,"139.3125000000000000"
"airbnb",3,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,"4",4,"1","2","128.94"
"airbnb",20,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,"2",3,"1","0","48.81"
"airbnb",2,2,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,"1",2,"1","1","36.84"
"airbnb",2,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,NULL,2,NULL,"1",NULL
"airbnb",3,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,"1",2,"1","1","73.68"
"airbnb",16,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,"1",2,"1","0","55.26"
"airbnb",19,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"1",2,NULL,NULL,"26.71"
"airbnb",2,2,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,NULL,2,NULL,"3",NULL
"airbnb",14,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,"3",6,NULL,"1","55.26"
"airbnb",2,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,"2",2,"1.5","0","198.02"
"airbnb",1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,"2",6,"1","2","307.61"
"airbnb",14,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,"1",2,"1.5","1","87.50"
"airbnb",3,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,1,"1",2,"1.5","0","79.21"
"airbnb",19,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"2",2,"1","2","78.28"
"airbnb",6,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,"1",2,"1","0","72.76"
"airbnb",20,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"3",6,"1","2","86.57"
"airbnb",20,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"3",7,"1","2","105.92"
"airbnb",1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,"2",3,"1","0","147.36"
"airbnb",12,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,"3",4,"1","2","142.75"
"airbnb",12,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,"1",4,"1","0","73.68"
"airbnb",12,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,"1",2,"1","1","61.71"
"airbnb",8,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,"1",2,"1","1","72.76"
"airbnb",20,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,"3",4,"1","1","73.68"
"airbnb",6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1",2,NULL,NULL,"40.52"
"airbnb",15,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,"2",4,"1","1","69.08"
"airbnb",2,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,"1",2,"1","1","81.97"
"airbnb",7,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,"3",4,"1","1","82.89"
"airbnb",1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,NULL,5,NULL,"2",NULL
"airbnb",3,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,1,"3",2,"1","1","74.60"
"booking",2,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,NULL,NULL,NULL,NULL,"123.7500000000000000"
"airbnb",16,2,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,"2",1,"1","1","19.34"
"airbnb",3,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,"1",2,"1","1","62.63"
"airbnb",5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3",6,NULL,NULL,"109.60"
